Date,Start_time,End_time,Subject,Professor,Grupa,Auditorium
04-05-19,9:00,10:00,Physics ,Joanna Iwaniec,1,2.41
04-05-19,9:00,10:30,Algebra,Mariusz Gibiec,2,3.27a
04-05-19,11:00,12:00,Physics,Joanna Iwaniec,3,2.26b
04-05-19,10:15,13:00,Circuits Theory ,Maciej Gierdziewicz,1,2.41
04-05-19,13:05,14:00,Information Technology,Bożena Giermek,2,3.28
04-05-19,14:05,15:25,Physics,Joanna Iwaniec,2,3.27a
04-05-19,15:00,16:00,Algebra,Mariusz Gibiec,3,3.28
04-05-19,16:00,18:00,Information Technology,Bożena Giermek,1,2.41
04-05-19,13:15,14:50,Circuits Theory ,Maciej Gierdziewicz,3,2.41
05-05-19,9:00,10:00,Simulation of Electronic Circuits,Sergiusz Orlowski,1,2.41
05-05-19,10:30,12:30,Digital Signal Processing,Beata Orchel,1,3.27a
05-05-19,13:30,14:30,Computer Networks,Joanna Orzeł,1,2.26b
05-05-19,10:15,11:00,Simulation of Electronic Circuits,Sergiusz Orlowski,2,2.26b
05-05-19,11:05,12:50,Computer Networks,Joanna Orzeł,2,3.28
05-05-19,16:05,17:25, Digital Signal Processing,Beata Orchel,2,3.27a
05-05-19,8:30,10:00,Digital Signal Processing,Beata Orchel,3,3.28
05-05-19,12:55,14:50,Simulation of Electronic Circuits,Sergiusz Orlowski,3,2.41
05-05-19,16:30,18:00,Computer Networks,Joanna Orzeł,3,3.26b
05-05-19,16:05,18:00,CAD and 3D modeling,Sergiusz Orlowski,1,2.41
11-05-19,9:00,10:00,Physics ,Joanna Iwaniec,1,2.41
11-05-19,9:00,10:30,Algebra,Mariusz Gibiec,2,3.27a
11-05-19,9:00,10:00,Circuits Theory ,Joanna Iwaniec,3,2.26b
11-05-19,10:15,13:00,Circuits Theory ,Joanna Iwaniec,1,2.41
11-05-19,13:00,14:00,Information Technology,Bożena Giermek,2,3.28
11-05-19,17:05,18:25,Physics,Joanna Iwaniec,2,3.27a
11-05-19,15:00,16:00,Algebra,Mariusz Gibiec,3,2.41
11-05-19,16:00,18:00,Information Technology,Bożena Giermek,1,2.26b
11-05-19,12:45,14:50,Physics,Maciej Gierdziewicz,3,3.27b
12-05-19,8:00,10:00,Simulation of Electronic Circuits,Sergiusz Orlowski,1,2.41
12-05-19,10:30,12:30,Digital Signal Processing,Beata Orchel,1,3.27a
12-05-19,17:30,17:30,Computer Networks,Joanna Orzeł,1,2.26b
12-05-19,10:15,11:00,Simulation of Electronic Circuits,Sergiusz Orlowski,2,2.26b
12-05-19,12:05,13:15,Computer Networks,Joanna Orzeł,2,3.28
12-05-19,16:05,17:25, Digital Signal Processing,Beata Orchel,2,3.27a
12-05-19,8:30,10:00,Digital Signal Processing,Beata Orchel,3,3.28
12-05-19,10:05,11:30,Computer Networks,Joanna Orzeł,3,2.41
12-05-19,12:45,14:50,Simulation of Electronic Circuits,Sergiusz Orlowski,3,2.41
18-05-19,9:00,10:00,Digital Signal Processing,Beata Orchel,1,2.41
18-05-19,9:00,10:30,Computer Networks,Joanna Orzeł,2,3.27a
18-05-19,9:00,10:00,Physics,Joanna Iwaniec,3,2.26b
18-05-19,10:15,13:00,Circuits Theory ,Maciej Gierdziewicz,1,2.26b
18-05-19,13:00,14:00,Digital Signal Processing,Beata Orchel,2,3.28
18-05-19,14:05,15:25,Physics,Joanna Iwaniec,2,3.27a
18-05-19,15:00,16:00,Computer Networks,Joanna Orzeł,3,3.28
18-05-19,16:00,18:00,Digital Signal Processing,Beata Orchel,1,3.26b
18-05-19,13:45,14:50,Circuits Theory ,Maciej Gierdziewicz,3,2.41
18-05-19,8:00,8:55,Physics,Joanna Iwaniec,3,2.41
19-05-19,8:00,10:00,Simulation of Electronic Circuits,Sergiusz Orlowski,1,2.41
19-05-19,10:30,12:30,Digital Signal Processing,Beata Orchel,1,3.27a
19-05-19,17:30,18:30,Computer Networks,Joanna Orzeł,1,2.26b
19-05-19,10:15,11:00,Simulation of Electronic Circuits,Sergiusz Orlowski,2,2.26b
